a,a,a,a
243_245386411,1568732400000000,1903137985,0
243_245386411,1483023600000000,775300103,0
243_245386411,1573225200000000,991363637,0
243_245386411,1557241200000000,725884502,0
243_245386411,1558191600000000,627677863,0
243_245386411,1554044400000000,1765745171,0
243_245386411,1555772400000000,362463583,0
243_245386411,1552057200000000,279513068,0
243_245386411,1563634800000000,412416671,0
243_245386411,1544540400000000,904351240,0
243_245386411,1556982000000000,700286427,0
243_245386411,1570201200000000,1570578713,0
243_245386411,1535814000000000,1589370464,0
243_245386411,1537628400000000,1064052579,0
243_245386411,1562252400000000,718781734,0
243_245386411,1499526000000000,1210819761,0
243_245386411,1549465200000000,1489251468,0
243_245386411,1442674800000000,558576687,0
243_245386411,1452438000000000,2135077268,0
243_245386411,1568559600000000,1317378265,0
243_245386411,1476025200000000,454547627,0
243_245386411,1565276400000000,1859780907,0
243_245386411,1567350000000000,553629909,0
243_245386411,1542380400000000,193598542,0
243_245386411,1348239600000000,1430611624,0
243_245386411,1520866800000000,1430395789,0
243_245386411,1562598000000000,2067578478,0
243_245386411,1483714800000000,1106740707,0
243_245386411,1568473200000000,1057808593,0
243_245386411,1569423600000000,1074993056,0
243_245386411,1556118000000000,1449926257,0
243_245386411,1511017200000000,1024266763,0
243_245386411,1558278000000000,38179269,0
243_245386411,1559574000000000,775893582,0
243_245386411,1541862000000000,184667021,0
243_245386411,1568559600000000,1735802558,0
243_245386411,1451055600000000,1694723725,0
243_245386411,1450969200000000,269204006,0
243_245386411,1568991600000000,1109306750,0
243_245386411,1394204400000000,1583850640,0
243_245386411,1495465200000000,1358215229,0
243_245386411,1571410800000000,284902773,0
243_245386411,1542034800000000,805530136,0
243_245386411,1565535600000000,2101862381,0
243_245386411,1565535600000000,1150081863,0
243_245386411,1531407600000000,1375979535,0
243_245386411,1505746800000000,1622546120,0
243_245386411,1525618800000000,1671200668,0
243_245386411,1568646000000000,159883451,0
243_245386411,1561388400000000,975214872,0
243_245386411,1563807600000000,1712003741,0
243_245386411,1552662000000000,527797839,0
243_245386411,1551970800000000,1636121726,0
243_245386411,1571842800000000,666678445,0
243_245386411,1526482800000000,50058128,0
243_245386411,1515855600000000,251755984,0
243_245386411,1568127600000000,1164442411,0
243_245386411,1500217200000000,1405999864,0
243_245386411,1557068400000000,2046142189,0
243_245386411,1552748400000000,751605377,0
243_245386411,1565449200000000,733156437,0
243_245386411,1365001200000000,540775740,0
243_245386411,1560870000000000,1483994096,0
243_245386411,1270220400000000,1616909419,0
243_245386411,1425049200000000,1636899143,0
243_245386411,1559401200000000,1725151361,0
243_245386411,1569078000000000,540399195,0
243_245386411,1549119600000000,812708838,0
243_245386411,1520348400000000,1708779306,0
243_245386411,1436108400000000,1252142274,0
243_245386411,1518274800000000,52513709,0
243_245386411,1553094000000000,1722868231,0
243_245386411,1565190000000000,1003521077,0
243_245386411,1548514800000000,21491673,0
243_245386411,1489762800000000,195730660,0
243_245386411,1528556400000000,1169672575,0
243_245386411,1513522800000000,1620216417,0
243_245386411,1503068400000000,811287498,0
243_245386411,1566658800000000,849922566,0
243_245386411,1567782000000000,2003188951,0
243_245386411,1569337200000000,353761154,0
243_245386411,1559833200000000,1861083998,0
243_245386411,1544281200000000,1460346967,0
243_245386411,1558278000000000,1786386957,0
243_245386411,1509548400000000,871679849,0
243_245386411,1563202800000000,163476249,0
243_245386411,1565276400000000,2116839170,0
243_245386411,1567436400000000,955652084,0
243_245386411,1486393200000000,336750636,0
243_245386411,1512054000000000,1770876208,0
243_245386411,1564585200000000,581865567,0
243_245386411,1550847600000000,1327718030,0
243_245386411,1533308400000000,1436136891,0
243_245386411,1555945200000000,488372159,0
243_245386411,1573743600000000,770921565,0
243_245386411,1527606000000000,181451598,0
243_245386411,1522767600000000,1695161087,0
243_245386411,1532876400000000,1698322791,0
243_245386411,1565622000000000,93981118,0
243_245386411,1567609200000000,1583992583,0
243_245386411,1561129200000000,1568841456,0
243_245386411,1429974000000000,1513945124,0
243_245386411,1569596400000000,1009260571,0
243_245386411,1511449200000000,1799310296,0
243_245386411,1559574000000000,2011857007,0
243_245386411,1561993200000000,1028574311,0
243_245386411,1545663600000000,1923590735,0
243_245386411,1512313200000000,412121842,0
243_245386411,1571929200000000,1675326525,0
243_245386411,1552575600000000,80422114,0
243_245386411,1490108400000000,2092080808,0
243_245386411,1570201200000000,1114050800,0
243_245386411,1569337200000000,1665837086,0
243_245386411,1556118000000000,561200318,0
243_245386411,1531148400000000,1629595613,0
243_245386411,1561042800000000,1950069658,0
243_245386411,1513263600000000,188241890,0
243_245386411,1271862000000000,910572297,0
243_245386411,1482073200000000,1844941220,0
243_245386411,1502204400000000,1129874021,0
243_245386411,1538060400000000,1681875321,0
243_245386411,1488380400000000,1359849336,0
243_245386411,1464879600000000,578458429,0
243_245386411,1556204400000000,666586565,0
243_245386411,1514559600000000,188909616,0
243_245386411,1506438000000000,1350011870,0
243_245386411,1518620400000000,1821786174,0
243_245386411,1547737200000000,722044259,0
243_245386411,1541516400000000,820781338,0
243_245386411,1500476400000000,1962189498,0
243_245386411,1566486000000000,299004234,0
243_245386411,1538924400000000,1050971191,0
243_245386411,1562770800000000,196539383,0
243_245386411,1564585200000000,804153761,0
243_245386411,1555945200000000,2065764471,0
243_245386411,1573398000000000,1934605027,0
243_245386411,1428505200000000,469816326,0
243_245386411,1543503600000000,472736752,0
243_245386411,1405522800000000,1904600593,0
243_245386411,1549206000000000,1171097095,0
243_245386411,1482246000000000,26030311,0
243_245386411,1554217200000000,1349536242,0
243_245386411,1508598000000000,800097023,0
243_245386411,1509980400000000,1337659716,0
243_245386411,1521385200000000,1408739590,0
243_245386411,1574262000000000,2093086508,0
243_245386411,1539270000000000,2016067912,0
243_245386411,1564153200000000,1238061104,0
243_245386411,1564412400000000,46351362,0
243_245386411,1510066800000000,1051471498,0
243_245386411,1571065200000000,104803851,0
243_245386411,1549724400000000,1458334048,0
243_245386411,1450710000000000,1704512171,0
243_245386411,1452697200000000,1692381981,0
243_245386411,1547218800000000,389464548,0
243_245386411,1513004400000000,289336712,0
243_245386411,1561215600000000,1109979753,0
243_245386411,1527951600000000,43734323,0
243_245386411,1568214000000000,752090153,0
243_245386411,1518447600000000,804559024,0
243_245386411,1522249200000000,1493755606,0
243_245386411,1265036400000000,337295973,0
243_245386411,1570287600000000,1218734863,0
243_245386411,1488639600000000,1968340534,0
243_245386411,1474729200000000,540501426,0
243_245386411,1567782000000000,797374927,0
243_245386411,1512226800000000,223363383,0
243_245386411,1561215600000000,1521891844,0
243_245386411,1569596400000000,976935143,0
243_245386411,1569596400000000,1542221,0
243_245386411,1572706800000000,1171491314,0
243_245386411,1557932400000000,1325077489,0
243_245386411,1523631600000000,367035925,0
243_245386411,1562857200000000,133775180,0
243_245386411,1569682800000000,2017833498,0
243_245386411,1569682800000000,1056094437,0
243_245386411,1541775600000000,591589887,0
243_245386411,1572706800000000,429462686,0
243_245386411,1552748400000000,1504987044,0
243_245386411,1511794800000000,810646103,0
243_245386411,1567695600000000,441672036,0
243_245386411,1546786800000000,806073091,0
243_245386411,1569078000000000,989992548,0
243_245386411,1543244400000000,2045895214,0
243_245386411,1544194800000000,2009218448,0
243_245386411,1567004400000000,1138670146,0
243_245386411,1538924400000000,1025266421,0
243_245386411,1364050800000000,347436335,0
243_245386411,1485529200000000,1836786457,0
243_245386411,1567782000000000,1739111611,0
243_245386411,1547218800000000,2093625852,0
243_245386411,1501340400000000,363594453,0
243_245386411,1461596400000000,1576607881,0
243_245386411,1536505200000000,859156431,0
243_245386411,1405868400000000,1783737980,0
243_245386411,1571842800000000,757386713,0
243_245386411,1416582000000000,260345895,0
243_245386411,1569337200000000,1290606579,0
243_245386411,1563894000000000,2022950677,0
243_245386411,1318086000000000,356318598,0
243_245386411,1544281200000000,1036283684,0
243_245386411,1380726000000000,819323772,0
243_245386411,1535727600000000,304125990,0
243_245386411,1569596400000000,103788407,0
243_245386411,1565017200000000,668568559,0
243_245386411,1554044400000000,2001676690,0
243_245386411,1572966000000000,1153025988,0
243_245386411,1572879600000000,731584462,0
243_245386411,1409929200000000,1421101177,0
243_245386411,1536332400000000,1281325903,0
243_245386411,1434812400000000,382055690,0
243_245386411,1538578800000000,712753515,0
243_245386411,1568127600000000,1931327807,0
243_245386411,1569250800000000,953492906,0
243_245386411,1568646000000000,774501006,0
243_245386411,1397487600000000,137902612,0
243_245386411,1525186800000000,1412195801,0
243_245386411,1556377200000000,381045251,0
243_245386411,1472310000000000,438772947,0
243_245386411,1560610800000000,1756872139,0
243_245386411,1542034800000000,153115658,0
243_245386411,1505660400000000,675100200,0
243_245386411,1359212400000000,1978496274,0
243_245386411,1550674800000000,1884109568,0
243_245386411,1520866800000000,216421817,0
243_245386411,1557500400000000,1255708407,0
243_245386411,1487948400000000,946260334,0
243_245386411,1569337200000000,2011815080,0
243_245386411,1528124400000000,2007716372,0
243_245386411,1568300400000000,733012599,0
243_245386411,1568991600000000,2018794816,0
243_245386411,1539356400000000,1446362322,0
243_245386411,1512572400000000,2112194333,0
243_245386411,1488553200000000,1376425471,0
243_245386411,1527606000000000,1101149296,0
243_245386411,1514041200000000,2120115571,0
243_245386411,1568386800000000,146540182,0
243_245386411,1536418800000000,1958310934,0
243_245386411,1326207600000000,775739186,0
243_245386411,1481382000000000,820959908,0
243_245386411,1557241200000000,368223295,0
243_245386411,1522854000000000,1385208471,0
243_245386411,1558796400000000,1214115553,0
243_245386411,1547218800000000,173965920,0
243_245386411,1564498800000000,1560844138,0
243_245386411,1513436400000000,693831648,0
243_245386411,1564412400000000,1796366727,0
243_245386411,1460818800000000,235386075,0
243_245386411,1564758000000000,1377543055,0
243_245386411,1399561200000000,612089786,0
243_245386411,1490108400000000,939665240,0
